CLASS;N;THREADS;CHUNK;TASKS;TIME;BATTERY
S;16777216;2;1024;16384;5,465;90
S;16777216;2;1024;16384;2,6909;90
S;16777216;2;1024;16384;2,7223;90
S;16777216;2;1024;16384;2,7139;90
S;16777216;2;1024;16384;2,7386;90
S;16777216;2;1024;16384;2,6963;90
S;16777216;2;1024;16384;2,7381;90
S;16777216;2;1024;16384;2,8492;90
S;16777216;2;1024;16384;3,0477;90
S;16777216;2;1024;16384;3,2656;90
S;16777216;2;1024;16384;2,808;90
S;16777216;2;1024;16384;2,7789;90
S;16777216;2;1024;16384;2,7682;90
S;16777216;2;1024;16384;2,7593;90
S;16777216;2;1024;16384;2,6799;90
S;16777216;2;1024;16384;2,7173;90
S;16777216;2;1024;16384;2,7044;90
S;16777216;2;1024;16384;2,7042;90
S;16777216;2;1024;16384;2,6977;90
S;16777216;2;1024;16384;2,7147;90
S;16777216;2;1024;16384;2,7157;90
S;16777216;2;1024;16384;2,7095;90
S;16777216;2;1024;16384;2,7228;90
S;16777216;2;1024;16384;2,9919;90
S;16777216;2;1024;16384;2,7171;90
S;16777216;2;1024;16384;2,7252;89
S;16777216;2;1024;16384;2,7125;89
S;16777216;2;1024;16384;2,706;89
S;16777216;2;1024;16384;2,7113;89
S;16777216;2;1024;16384;2,6729;89
S;16777216;2;8192;2048;5,0608;89
S;16777216;2;8192;2048;5,3138;89
S;16777216;2;8192;2048;5,2759;89
S;16777216;2;8192;2048;5,0695;89
S;16777216;2;8192;2048;5,2846;89
S;16777216;2;8192;2048;5,1294;89
S;16777216;2;8192;2048;5,2651;89
S;16777216;2;8192;2048;5,0588;89
S;16777216;2;8192;2048;5,4764;89
S;16777216;2;8192;2048;5,3047;89
S;16777216;2;8192;2048;5,4999;89
S;16777216;2;8192;2048;5,0628;89
S;16777216;2;8192;2048;5,0573;89
S;16777216;2;8192;2048;5,4994;89
S;16777216;2;8192;2048;5,0681;89
S;16777216;2;8192;2048;5,4888;89
S;16777216;2;8192;2048;5,0622;89
S;16777216;2;8192;2048;5,0639;88
S;16777216;2;8192;2048;5,0648;88
S;16777216;2;8192;2048;5,0579;88
S;16777216;2;8192;2048;5,3414;88
S;16777216;2;8192;2048;5,2166;88
S;16777216;2;8192;2048;5,06;88
S;16777216;2;8192;2048;5,3076;88
S;16777216;2;8192;2048;5,2878;88
S;16777216;2;8192;2048;5,498;88
S;16777216;2;8192;2048;5,0648;88
S;16777216;2;8192;2048;5,2921;88
S;16777216;2;8192;2048;5,318;88
S;16777216;2;8192;2048;5,0661;88
S;16777216;2;65536;256;5,468;88
S;16777216;2;65536;256;5,0563;88
S;16777216;2;65536;256;5,0573;88
S;16777216;2;65536;256;5,2325;88
S;16777216;2;65536;256;5,0534;88
S;16777216;2;65536;256;5,1417;88
S;16777216;2;65536;256;5,0733;87
S;16777216;2;65536;256;5,0663;87
S;16777216;2;65536;256;5,2551;87
S;16777216;2;65536;256;5,4731;87
S;16777216;2;65536;256;5,4752;87
S;16777216;2;65536;256;5,4596;87
S;16777216;2;65536;256;5,1734;87
S;16777216;2;65536;256;5,2814;87
S;16777216;2;65536;256;5,0672;87
S;16777216;2;65536;256;5,0588;87
S;16777216;2;65536;256;5,4911;87
S;16777216;2;65536;256;5,0565;87
S;16777216;2;65536;256;5,2974;87
S;16777216;2;65536;256;5,3381;87
S;16777216;2;65536;256;5,0661;87
S;16777216;2;65536;256;5,0553;87
S;16777216;2;65536;256;5,059;87
S;16777216;2;65536;256;5,7303;87
S;16777216;2;65536;256;5,3037;87
S;16777216;2;65536;256;5,3233;86
S;16777216;2;65536;256;5,0871;86
S;16777216;2;65536;256;5,311;86
S;16777216;2;65536;256;5,2991;86
S;16777216;2;65536;256;5,4162;86
S;16777216;4;1024;16384;2,8779;86
S;16777216;4;1024;16384;1,8834;86
S;16777216;4;1024;16384;1,8484;86
S;16777216;4;1024;16384;1,9204;86
S;16777216;4;1024;16384;1,9572;86
S;16777216;4;1024;16384;1,9519;86
S;16777216;4;1024;16384;1,9334;86
S;16777216;4;1024;16384;1,9463;86
S;16777216;4;1024;16384;1,9432;86
S;16777216;4;1024;16384;1,9688;86
S;16777216;4;1024;16384;1,9665;86
S;16777216;4;1024;16384;1,5838;86
S;16777216;4;1024;16384;1,9548;86
S;16777216;4;1024;16384;1,6027;86
S;16777216;4;1024;16384;1,6411;86
S;16777216;4;1024;16384;1,7474;86
S;16777216;4;1024;16384;1,7824;86
S;16777216;4;1024;16384;1,7536;86
S;16777216;4;1024;16384;1,7383;86
S;16777216;4;1024;16384;1,8232;86
S;16777216;4;1024;16384;2,0485;85
S;16777216;4;1024;16384;1,994;85
S;16777216;4;1024;16384;1,9532;85
S;16777216;4;1024;16384;1,9745;85
S;16777216;4;1024;16384;2,0067;85
S;16777216;4;1024;16384;1,9715;85
S;16777216;4;1024;16384;1,983;85
S;16777216;4;1024;16384;1,9651;85
S;16777216;4;1024;16384;2,0559;85
S;16777216;4;1024;16384;2,0363;85
S;16777216;4;8192;2048;5,959;85
S;16777216;4;8192;2048;5,1729;85
S;16777216;4;8192;2048;5,1459;85
S;16777216;4;8192;2048;5,1836;85
S;16777216;4;8192;2048;5,9972;85
S;16777216;4;8192;2048;5,9825;85
S;16777216;4;8192;2048;5,7395;85
S;16777216;4;8192;2048;5,1563;85
S;16777216;4;8192;2048;5,2546;85
S;16777216;4;8192;2048;5,1689;85
S;16777216;4;8192;2048;5,1255;85
S;16777216;4;8192;2048;5,1728;85
S;16777216;4;8192;2048;5,3954;84
S;16777216;4;8192;2048;5,3733;84
S;16777216;4;8192;2048;5,164;84
S;16777216;4;8192;2048;5,1644;84
S;16777216;4;8192;2048;5,1683;84
S;16777216;4;8192;2048;5,1693;84
S;16777216;4;8192;2048;5,1679;84
S;16777216;4;8192;2048;5,136;84
S;16777216;4;8192;2048;5,1259;84
S;16777216;4;8192;2048;5,3608;84
S;16777216;4;8192;2048;5,1652;84
S;16777216;4;8192;2048;5,1663;84
S;16777216;4;8192;2048;5,1654;84
S;16777216;4;8192;2048;5,1438;84
S;16777216;4;8192;2048;5,1613;84
S;16777216;4;8192;2048;5,1651;84
S;16777216;4;8192;2048;5,2967;84
S;16777216;4;8192;2048;5,0745;84
S;16777216;4;65536;256;5,1746;84
S;16777216;4;65536;256;5,2877;84
S;16777216;4;65536;256;5,2237;83
S;16777216;4;65536;256;5,1501;83
S;16777216;4;65536;256;5,1585;83
S;16777216;4;65536;256;5,381;83
S;16777216;4;65536;256;5,3832;83
S;16777216;4;65536;256;5,1846;83
S;16777216;4;65536;256;5,3032;83
S;16777216;4;65536;256;5,0545;83
S;16777216;4;65536;256;5,1631;83
S;16777216;4;65536;256;5,1562;82
S;16777216;4;65536;256;5,1551;82
S;16777216;4;65536;256;5,2603;82
S;16777216;4;65536;256;5,0691;82
S;16777216;4;65536;256;5,1579;82
S;16777216;4;65536;256;5,1595;82
S;16777216;4;65536;256;5,1568;82
S;16777216;4;65536;256;5,1591;82
S;16777216;4;65536;256;5,169;82
S;16777216;4;65536;256;5,3296;82
S;16777216;4;65536;256;5,1629;82
S;16777216;4;65536;256;5,1559;82
S;16777216;4;65536;256;5,1659;82
S;16777216;4;65536;256;5,147;82
S;16777216;4;65536;256;5,1287;82
S;16777216;4;65536;256;5,1575;82
S;16777216;4;65536;256;5,1257;82
S;16777216;4;65536;256;5,1735;82
S;16777216;4;65536;256;5,1609;81
W;33554432;2;1024;32768;5,4206;81
W;33554432;2;1024;32768;11,1838;81
W;33554432;2;1024;32768;7,3167;81
W;33554432;2;1024;32768;5,4136;81
W;33554432;2;1024;32768;5,3959;81
W;33554432;2;1024;32768;5,46;81
W;33554432;2;1024;32768;5,4746;81
W;33554432;2;1024;32768;5,5823;81
W;33554432;2;1024;32768;5,7619;81
W;33554432;2;1024;32768;5,785;81
W;33554432;2;1024;32768;6,0614;81
W;33554432;2;1024;32768;11,1839;81
W;33554432;2;1024;32768;11,177;81
W;33554432;2;1024;32768;6,0513;80
W;33554432;2;1024;32768;5,8333;80
W;33554432;2;1024;32768;6,0186;80
W;33554432;2;1024;32768;11,1947;80
W;33554432;2;1024;32768;6,7316;80
W;33554432;2;1024;32768;8,0291;80
W;33554432;2;1024;32768;6,2741;80
W;33554432;2;1024;32768;6,2549;80
W;33554432;2;1024;32768;7,0618;80
W;33554432;2;1024;32768;6,3039;80
W;33554432;2;1024;32768;11,7342;80
W;33554432;2;1024;32768;6,2145;80
W;33554432;2;1024;32768;6,2298;80
W;33554432;2;1024;32768;6,3163;79
W;33554432;2;1024;32768;10,0773;79
W;33554432;2;1024;32768;11,806;79
W;33554432;2;1024;32768;8,2223;79
W;33554432;2;8192;4096;17,2353;79
W;33554432;2;8192;4096;10,1287;79
W;33554432;2;8192;4096;10,337;79
W;33554432;2;8192;4096;10,1288;79
W;33554432;2;8192;4096;10,1415;79
W;33554432;2;8192;4096;10,5567;79
W;33554432;2;8192;4096;10,1149;79
W;33554432;2;8192;4096;10,1142;78
W;33554432;2;8192;4096;10,1129;78
W;33554432;2;8192;4096;10,1171;78
W;33554432;2;8192;4096;10,1122;78
W;33554432;2;8192;4096;10,1205;78
W;33554432;2;8192;4096;10,1165;78
W;33554432;2;8192;4096;10,1279;78
W;33554432;2;8192;4096;10,1343;78
W;33554432;2;8192;4096;11,4829;78
W;33554432;2;8192;4096;10,1159;78
W;33554432;2;8192;4096;10,6346;78
W;33554432;2;8192;4096;13,2326;77
W;33554432;2;8192;4096;11,7053;77
W;33554432;2;8192;4096;11,6991;77
W;33554432;2;8192;4096;11,7182;77
W;33554432;2;8192;4096;11,7209;77
W;33554432;2;8192;4096;11,7199;77
W;33554432;2;8192;4096;11,7221;77
W;33554432;2;8192;4096;11,7084;77
W;33554432;2;8192;4096;11,7093;77
W;33554432;2;8192;4096;11,7052;77
W;33554432;2;8192;4096;11,7029;76
W;33554432;2;8192;4096;11,7095;76
W;33554432;2;65536;512;11,6882;76
W;33554432;2;65536;512;11,7058;76
W;33554432;2;65536;512;11,7078;76
W;33554432;2;65536;512;11,7014;76
W;33554432;2;65536;512;11,6984;76
W;33554432;2;65536;512;10,113;75
W;33554432;2;65536;512;10,113;75
W;33554432;2;65536;512;10,1141;75
W;33554432;2;65536;512;10,1184;75
W;33554432;2;65536;512;10,1124;75
W;33554432;2;65536;512;10,122;75
W;33554432;2;65536;512;10,6882;75
W;33554432;2;65536;512;10,1466;75
W;33554432;2;65536;512;11,701;75
W;33554432;2;65536;512;11,9151;75
W;33554432;2;65536;512;11,7866;75
W;33554432;2;65536;512;12,0585;75
W;33554432;2;65536;512;10,1523;74
W;33554432;2;65536;512;10,1895;74
W;33554432;2;65536;512;10,1588;74
W;33554432;2;65536;512;10,1495;74
W;33554432;2;65536;512;10,1546;74
W;33554432;2;65536;512;10,1557;74
W;33554432;2;65536;512;10,3466;74
W;33554432;2;65536;512;10,1259;74
W;33554432;2;65536;512;10,12;74
W;33554432;2;65536;512;10,1213;74
W;33554432;2;65536;512;10,1255;73
W;33554432;2;65536;512;10,121;73
W;33554432;2;65536;512;10,3967;73
W;33554432;4;1024;32768;5,6865;73
W;33554432;4;1024;32768;5,8482;73
W;33554432;4;1024;32768;5,8904;73
W;33554432;4;1024;32768;6,0396;73
W;33554432;4;1024;32768;5,8896;73
W;33554432;4;1024;32768;5,9878;73
W;33554432;4;1024;32768;4,9017;73
W;33554432;4;1024;32768;6,3601;73
W;33554432;4;1024;32768;4,1803;73
W;33554432;4;1024;32768;4,0456;73
W;33554432;4;1024;32768;5,2843;73
W;33554432;4;1024;32768;5,859;73
W;33554432;4;1024;32768;5,8634;73
W;33554432;4;1024;32768;5,9764;72
W;33554432;4;1024;32768;5,8729;72
W;33554432;4;1024;32768;5,8855;72
W;33554432;4;1024;32768;5,8795;72
W;33554432;4;1024;32768;5,9496;72
W;33554432;4;1024;32768;5,8607;72
W;33554432;4;1024;32768;5,8584;72
W;33554432;4;1024;32768;5,875;72
W;33554432;4;1024;32768;5,87;72
W;33554432;4;1024;32768;5,9206;72
W;33554432;4;1024;32768;5,8644;72
W;33554432;4;1024;32768;5,954;72
W;33554432;4;1024;32768;5,8529;72
W;33554432;4;1024;32768;5,8457;72
W;33554432;4;1024;32768;5,8433;72
W;33554432;4;1024;32768;5,8474;72
W;33554432;4;1024;32768;5,8515;72
W;33554432;4;8192;4096;22,1862;72
W;33554432;4;8192;4096;10,2509;71
W;33554432;4;8192;4096;11,9841;71
W;33554432;4;8192;4096;11,8102;71
W;33554432;4;8192;4096;11,7776;71
W;33554432;4;8192;4096;13,6628;71
W;33554432;4;8192;4096;10,4574;71
W;33554432;4;8192;4096;10,3179;71
W;33554432;4;8192;4096;10,2447;71
W;33554432;4;8192;4096;10,2352;71
W;33554432;4;8192;4096;10,1334;71
W;33554432;4;8192;4096;10,331;71
W;33554432;4;8192;4096;10,3639;71
W;33554432;4;8192;4096;21,9018;70
