N;S21024;S28192;S41024;S48192;W21024;W28192;W41024;W48192
1;2.7159;5.0608;2.8779;5.959;5.4206;17.2353;5.6865;22.1862
2;2.6909;5.3138;1.8834;5.1729;11.1838;10.1287;5.8482;10.2509
3;2.7223;5.2759;1.8484;5.1459;7.3167;10.337;5.8904;11.9841
4;2.7139;5.0695;1.9204;5.1836;5.4136;10.1288;6.0396;11.8102
5;2.7386;5.2846;1.9572;5.9972;5.3959;10.1415;5.8896;11.7776
6;2.6963;5.1294;1.9519;5.9825;5.46;10.5567;5.9878;13.6628
7;2.7381;5.2651;1.9334;5.7395;5.4746;10.1149;4.9017;10.4574
8;2.8492;5.0588;1.9463;5.1563;5.5823;10.1142;6.3601;10.3179
9;3.0477;5.4764;1.9432;5.2546;5.7619;10.1129;4.1803;10.2447
10;3.2656;5.3047;1.9688;5.1689;5.785;10.1171;4.0456;10.2352
11;2.808;5.4999;1.9665;5.1255;6.0614;10.1122;5.2843;10.1334
12;2.7789;5.0628;1.5838;5.1728;11.1839;10.1205;5.859;10.331
13;2.7682;5.0573;1.9548;5.3954;11.177;10.1165;5.8634;10.3639
14;2.7593;5.4994;1.6027;5.3733;6.0513;10.1279;5.9764;21.9018
15;2.6799;5.0681;1.6411;5.164;5.8333;10.1343;5.8729;10.5808
16;2.7173;5.4888;1.7474;5.1644;6.0186;11.4829;5.8855;10.4278
17;2.7044;5.0622;1.7824;5.1683;11.1947;10.1159;5.8795;10.2962
18;2.7042;5.0639;1.7536;5.1693;6.7316;10.6346;5.9496;10.3211
19;2.6977;5.0648;1.7383;5.1679;8.0291;13.2326;5.8607;10.364
20;2.7147;5.0579;1.8232;5.136;6.2741;11.7053;5.8584;10.3909
21;2.7157;5.3414;2.0485;5.1259;6.2549;11.6991;5.875;10.5746
22;2.7095;5.2166;1.994;5.3608;7.0618;11.7182;5.87;10.4387
23;2.7228;5.06;1.9532;5.1652;6.3039;11.7209;5.9206;10.4072
24;2.9919;5.3076;1.9745;5.1663;11.7342;11.7199;5.8644;13.074
25;2.7171;5.2878;2.0067;5.1654;6.2145;11.7221;5.954;11.9896
26;2.7252;5.498;1.9715;5.1438;6.2298;11.7084;5.8529;12.0124
27;2.7125;5.0648;1.983;5.1613;6.3163;11.7093;5.8457;11.8035
28;2.706;5.2921;1.9651;5.1651;10.0773;11.7052;5.8433;11.8107
29;2.7113;5.318;2.0559;5.2967;11.806;11.7029;5.8474;11.7119
30;2.6729;5.0661;2.0363;5.0745;8.2223;11.7095;5.8515;11.8099
